likes,retweets,pos_score,neg_score,vn_lable,n_lable,nu_lable,p_lable,vp_lable,followers,followings,verifies,ratings
10,2,0.6,0.4,0.15,0.17,0.18,0.15,0.36,42154,1184,0.04,1
14,2,0.39,0.61,0.3,0.26,0.18,0.17,0.09,9014,1166,0.033,0
2,1,0.37,0.63,0.42,0.16,0.16,0.15,0.11,58788,2305,0.098,0
19,5,0.34,0.66,0.34,0.31,0.2,0.07,0.07,4690,2519,0.0,0
273,194,0.22,0.78,0.56,0.24,0.16,0.03,0.02,105895,2953,0.038,0
2,0,0.53,0.47,0.13,0.16,0.31,0.27,0.14,1280,879,0.01,0
3,0,0.44,0.56,0.27,0.24,0.16,0.19,0.14,10170,1495,0.022,0
11,2,0.46,0.54,0.24,0.29,0.19,0.09,0.19,11803,3461,0.013,0
3792,1110,0.59,0.41,0.2,0.17,0.06,0.22,0.35,471814,1296,0.057,0
10,2,0.38,0.62,0.31,0.29,0.17,0.16,0.08,9222,5163,0.049,0
8,1,0.39,0.61,0.24,0.29,0.29,0.15,0.03,6138,2007,0.067,0
13,3,0.4,0.6,0.3,0.21,0.23,0.15,0.12,5264,1985,0.066,0
5,1,0.46,0.54,0.26,0.19,0.28,0.12,0.15,83215,2197,0.09,0
3,1,0.38,0.62,0.35,0.16,0.28,0.12,0.09,40753,963,0.02,0
0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,15,0,0.0,0
2,0,0.55,0.45,0.0,0.33,0.17,0.33,0.17,2483,763,0.0,0
2,0,0.34,0.66,0.38,0.32,0.12,0.08,0.11,12645,1553,0.021,0
7,3,0.37,0.63,0.39,0.22,0.18,0.09,0.12,44667,3053,0.052,1
685,176,0.33,0.67,0.31,0.36,0.21,0.06,0.06,6215,1914,0.064,0
12,1,0.35,0.65,0.39,0.25,0.17,0.12,0.07,3417,1671,0.011,0
2,0,0.49,0.51,0.19,0.24,0.18,0.21,0.18,5315,1121,0.04,0
25,2,0.51,0.49,0.22,0.14,0.26,0.17,0.2,80099,787,0.091,0
4,1,0.45,0.55,0.15,0.26,0.36,0.16,0.08,89619,2233,0.15,0
114,24,0.49,0.51,0.19,0.25,0.2,0.22,0.15,35378,1077,0.053,0
84,4,0.46,0.54,0.28,0.21,0.18,0.15,0.17,3727,2093,0.026,0
995,57,0.43,0.57,0.25,0.22,0.22,0.19,0.11,39865,1256,0.059,0
3,1,0.57,0.43,0.13,0.17,0.22,0.22,0.27,8053,3268,0.054,0
271,42,0.35,0.65,0.37,0.23,0.19,0.13,0.09,43453,1621,0.065,0
2868,937,0.43,0.57,0.2,0.33,0.19,0.18,0.1,2232,1103,0.0,0
1,0,0.23,0.77,0.59,0.17,0.15,0.07,0.02,1810,1065,0.0,0
0,0,0.12,0.88,0.85,0.05,0.01,0.09,0.0,7905,8022,0.0,0
11,2,0.44,0.56,0.15,0.35,0.28,0.13,0.08,2678,1022,0.041,0
5,1,0.39,0.61,0.34,0.24,0.14,0.19,0.08,4638,367,0.024,0
22,2,0.61,0.39,0.17,0.13,0.17,0.18,0.36,8524,1022,0.053,0
0,0,0.57,0.43,0.15,0.18,0.11,0.34,0.22,1202,964,0.024,0
9,2,0.27,0.73,0.48,0.25,0.17,0.06,0.04,29510,1105,0.069,0
28,6,0.41,0.59,0.33,0.15,0.3,0.1,0.12,1739,1107,0.013,0
140,40,0.29,0.71,0.41,0.26,0.27,0.04,0.02,18739,1573,0.041,0
3,1,0.44,0.56,0.23,0.27,0.25,0.14,0.11,8593,1979,0.058,0
1094,552,0.33,0.67,0.4,0.26,0.22,0.06,0.06,1251,1149,0.011,1
3,1,0.47,0.53,0.19,0.28,0.22,0.16,0.16,2316,1466,0.014,0
748,187,0.27,0.73,0.48,0.31,0.11,0.06,0.05,10802,1431,0.041,0
884,368,0.45,0.55,0.24,0.16,0.32,0.14,0.14,134598,2231,0.105,1
383,101,0.32,0.68,0.34,0.35,0.14,0.15,0.02,410669,970,0.079,0
3,0,0.49,0.51,0.24,0.18,0.19,0.21,0.18,4447,2003,0.021,0
13,2,0.43,0.57,0.31,0.24,0.1,0.2,0.15,3138,1252,0.022,0
4,2,0.4,0.6,0.29,0.3,0.17,0.13,0.11,18300,3543,0.114,0
19,3,0.37,0.63,0.39,0.18,0.19,0.13,0.11,4806,1332,0.042,0
106,30,0.47,0.53,0.18,0.26,0.25,0.12,0.18,50703,3785,0.022,0
21,4,0.39,0.61,0.31,0.3,0.15,0.15,0.08,69518,2946,0.118,0
137,41,0.38,0.62,0.31,0.27,0.18,0.16,0.08,7985,950,0.03,0
3246,694,0.32,0.68,0.42,0.24,0.18,0.09,0.08,6862,1064,0.05,0
10,3,0.4,0.6,0.29,0.27,0.16,0.18,0.1,1426,1337,0.0,0
3,1,0.41,0.59,0.36,0.15,0.15,0.26,0.08,2938,1337,0.057,0
6183,488,0.68,0.32,0.02,0.08,0.04,0.8,0.06,55416,46078,0.074,0
15,2,0.4,0.6,0.27,0.28,0.27,0.08,0.11,4605,1210,0.031,0
45946,20948,0.26,0.74,0.53,0.2,0.13,0.13,0.0,2352640,679,0.067,0
40,4,0.39,0.61,0.31,0.25,0.21,0.16,0.07,49539,1289,0.107,0
0,1,0.53,0.47,0.17,0.08,0.25,0.5,0.0,3434,418,0.083,0
3,0,0.43,0.57,0.24,0.32,0.17,0.12,0.14,932,663,0.0,0
739,402,0.48,0.52,0.16,0.42,0.07,0.12,0.23,1188,915,0.0,0
2,1,0.4,0.6,0.21,0.31,0.25,0.19,0.04,15349,1370,0.086,0
1,0,0.61,0.39,0.08,0.12,0.16,0.44,0.19,7606,1304,0.016,0
1326,202,0.43,0.57,0.21,0.28,0.26,0.17,0.09,16649,1313,0.051,0
39,9,0.34,0.66,0.39,0.2,0.25,0.13,0.03,56275,1106,0.04,1
1,0,0.57,0.43,0.07,0.15,0.26,0.35,0.16,1662,617,0.0,0
5,1,0.34,0.66,0.35,0.32,0.2,0.03,0.1,6965,1374,0.052,0
145,5,0.55,0.45,0.17,0.18,0.23,0.14,0.28,210370,1150,0.061,1
33,6,0.42,0.58,0.31,0.18,0.18,0.19,0.13,7791,1571,0.049,0
720,175,0.53,0.47,0.16,0.23,0.17,0.21,0.22,44333,822,0.058,0
8,1,0.39,0.61,0.29,0.27,0.21,0.15,0.08,59305,783,0.043,1
1,0,0.4,0.6,0.23,0.28,0.26,0.15,0.09,1145,1095,0.0,0
4,1,0.46,0.54,0.17,0.32,0.22,0.13,0.16,2014,1269,0.016,0
19,1,0.38,0.62,0.35,0.25,0.17,0.09,0.15,77181,1181,0.062,0
224,28,0.4,0.6,0.35,0.17,0.28,0.13,0.08,7958,1594,0.069,0
21,3,0.49,0.51,0.21,0.24,0.19,0.21,0.16,4918,1209,0.013,0
1,0,0.45,0.55,0.19,0.32,0.2,0.2,0.09,15661,817,0.021,0
3,1,0.54,0.46,0.09,0.14,0.34,0.35,0.07,1192,1237,0.0,0
122,20,0.45,0.55,0.13,0.23,0.45,0.13,0.05,63304,1725,0.04,0
4,1,0.44,0.56,0.21,0.27,0.27,0.12,0.12,2992,938,0.052,0
3,1,0.43,0.57,0.24,0.23,0.23,0.25,0.06,4795,2555,0.0,0
5,1,0.3,0.7,0.46,0.24,0.17,0.08,0.06,15368,1167,0.025,0
568,118,0.41,0.59,0.28,0.24,0.22,0.18,0.08,154508,1464,0.023,0
6,2,0.61,0.39,0.11,0.16,0.2,0.11,0.42,3960,829,0.03,0
45,5,0.68,0.32,0.08,0.12,0.15,0.2,0.46,3549,2247,0.01,0
103,16,0.55,0.45,0.16,0.19,0.19,0.15,0.3,4439,2000,0.052,1
1,0,0.44,0.56,0.2,0.23,0.32,0.2,0.05,3064,1382,0.025,0
162,48,0.43,0.57,0.29,0.23,0.17,0.15,0.15,53589,1673,0.011,1
1,0,0.42,0.58,0.37,0.17,0.13,0.13,0.2,8073,1149,0.043,0
15,5,0.45,0.55,0.18,0.3,0.25,0.13,0.13,32570,1327,0.023,0
31,8,0.35,0.65,0.37,0.25,0.22,0.08,0.08,8133,1891,0.04,0
3,1,0.47,0.53,0.18,0.2,0.3,0.2,0.11,23816,2056,0.05,0
24,4,0.23,0.77,0.52,0.27,0.15,0.05,0.01,114355,2067,0.023,0
538,137,0.39,0.61,0.31,0.22,0.22,0.18,0.07,184903,1723,0.061,0
0,0,0.24,0.76,0.67,0.0,0.33,0.0,0.0,4078,687,0.0,0
310,84,0.35,0.65,0.08,0.7,0.07,0.09,0.06,3582,1194,0.0,0
74,10,0.46,0.54,0.29,0.18,0.22,0.14,0.18,504065,1658,0.075,0
3,0,0.36,0.64,0.31,0.31,0.16,0.14,0.08,9925,1284,0.012,0
26,7,0.44,0.56,0.33,0.15,0.17,0.2,0.14,3584,895,0.025,0
3,0,0.61,0.39,0.15,0.16,0.17,0.15,0.38,9417,1353,0.012,0
32,1,0.57,0.43,0.21,0.13,0.14,0.19,0.33,148054,1606,0.069,0
12,2,0.39,0.61,0.36,0.25,0.09,0.11,0.18,15086,808,0.077,0
5,1,0.24,0.76,0.5,0.33,0.11,0.05,0.01,10277,1519,0.021,0
2,1,0.43,0.57,0.26,0.28,0.2,0.14,0.13,50962,1498,0.022,0
52,20,0.49,0.51,0.26,0.15,0.22,0.12,0.25,7920,2211,0.034,0
4,1,0.21,0.79,0.68,0.12,0.08,0.08,0.04,5681,776,0.067,0
1,0,0.32,0.68,0.46,0.24,0.17,0.07,0.07,12163,1256,0.037,1
32,5,0.42,0.58,0.27,0.28,0.21,0.17,0.08,37509,3923,0.033,0
16,4,0.27,0.73,0.55,0.17,0.14,0.1,0.05,2010,1461,0.0,0
418,120,0.36,0.64,0.34,0.32,0.13,0.13,0.09,21264,1750,0.069,0
2,0,0.64,0.36,0.14,0.18,0.08,0.17,0.43,1262,1086,0.0,0
19,3,0.44,0.56,0.26,0.19,0.25,0.22,0.08,78287,1017,0.034,0
390,101,0.39,0.61,0.32,0.23,0.22,0.08,0.14,321875,1480,0.081,0
1500,495,0.58,0.42,0.15,0.13,0.2,0.28,0.24,50875,1147,0.074,0
1,0,0.42,0.58,0.38,0.15,0.21,0.1,0.17,3363,2586,0.0,0
17,1,0.5,0.5,0.15,0.23,0.29,0.14,0.2,1400,721,0.012,0
2,0,0.61,0.39,0.11,0.15,0.18,0.28,0.29,1065,553,0.0,0
66,8,0.29,0.71,0.43,0.33,0.17,0.02,0.06,5748,1149,0.047,0
305,77,0.34,0.66,0.31,0.35,0.21,0.08,0.06,418720,3280,0.033,0
4,2,0.54,0.46,0.11,0.24,0.23,0.23,0.2,26465,1419,0.065,1
226,34,0.45,0.55,0.28,0.21,0.19,0.14,0.19,5386,760,0.011,1
788,216,0.31,0.69,0.4,0.31,0.17,0.09,0.03,202938,1406,0.061,0
3,0,0.31,0.69,0.48,0.17,0.18,0.12,0.05,5368,1475,0.034,0
376,87,0.42,0.58,0.22,0.28,0.21,0.19,0.1,117797,1309,0.043,0
2,1,0.37,0.63,0.38,0.24,0.13,0.14,0.11,4855,1660,0.0,0
120,60,0.29,0.71,0.47,0.27,0.13,0.09,0.03,39327,1083,0.011,0
12,1,0.42,0.58,0.27,0.26,0.18,0.16,0.13,20272,1000,0.022,0
1,0,0.33,0.67,0.46,0.17,0.11,0.23,0.03,2069,1028,0.01,0
456,116,0.35,0.65,0.32,0.28,0.23,0.14,0.03,9063,1309,0.113,0
12,3,0.51,0.49,0.18,0.14,0.3,0.19,0.19,192783,1022,0.194,0
500,128,0.32,0.68,0.41,0.23,0.24,0.08,0.04,25614,1327,0.065,0
646,129,0.38,0.62,0.35,0.25,0.16,0.13,0.12,13853,3007,0.029,0
4,2,0.29,0.71,0.33,0.08,0.58,0.0,0.0,6192,2005,0.167,0
1065,74,0.52,0.48,0.19,0.17,0.25,0.13,0.25,561144,1630,0.031,0
1,0,0.53,0.47,0.0,0.3,0.4,0.3,0.0,1817,957,0.0,0
8174,2185,0.65,0.35,0.09,0.13,0.18,0.24,0.36,59338,1440,0.063,0
294,68,0.24,0.76,0.54,0.27,0.12,0.05,0.02,73430,1253,0.038,0
1254,304,0.28,0.72,0.52,0.21,0.17,0.06,0.05,1711,770,0.023,0
215,41,0.39,0.61,0.37,0.18,0.18,0.16,0.11,13621,3965,0.039,1
281,94,0.36,0.64,0.35,0.27,0.19,0.08,0.12,41446,1637,0.052,0
590,231,0.39,0.61,0.24,0.3,0.28,0.14,0.04,138130,2319,0.049,0
27,1,0.41,0.58,0.33,0.19,0.18,0.15,0.16,23050,668,0.029,0
12,3,0.34,0.66,0.31,0.37,0.17,0.13,0.03,188619,2128,0.044,0
1,0,0.47,0.54,0.33,0.33,0.0,0.17,0.17,262,581,0.0,0
1,0,0.47,0.53,0.3,0.1,0.23,0.21,0.15,2616,881,0.011,0
13,5,0.46,0.54,0.14,0.27,0.27,0.27,0.05,156482,19739,0.167,0
1,0,0.24,0.76,0.62,0.12,0.16,0.05,0.05,2768,2663,0.0,0
9,1,0.38,0.62,0.36,0.19,0.22,0.14,0.09,5939,1143,0.0,0
1,0,0.39,0.61,0.44,0.17,0.0,0.28,0.11,4447,741,0.083,0
6,1,0.43,0.57,0.27,0.22,0.24,0.15,0.12,8984,1567,0.03,0
146,42,0.44,0.56,0.27,0.16,0.36,0.07,0.16,58018,922,0.059,0
49,37,0.42,0.58,0.28,0.22,0.28,0.12,0.1,3379,1408,0.031,0
46,13,0.43,0.57,0.26,0.25,0.23,0.12,0.15,19650,2590,0.057,0
26,4,0.39,0.61,0.3,0.27,0.22,0.09,0.12,33483,4047,0.056,0
7,3,0.36,0.64,0.35,0.22,0.24,0.13,0.07,46821,1595,0.075,0
3,1,0.37,0.63,0.31,0.29,0.17,0.14,0.09,5915,1302,0.041,0
200,89,0.37,0.63,0.35,0.27,0.16,0.13,0.09,7029,1768,0.046,0
3,1,0.45,0.55,0.15,0.35,0.21,0.21,0.08,4273,756,0.027,0
19,4,0.35,0.65,0.31,0.34,0.18,0.09,0.08,30711,1034,0.118,0
0,0,0.36,0.64,0.49,0.04,0.06,0.36,0.05,1149,3469,0.0,0
1,0,0.42,0.58,0.27,0.3,0.16,0.08,0.19,1638,1228,0.014,0
12,10,0.39,0.61,0.39,0.18,0.17,0.12,0.14,13246,4652,0.034,1
80,17,0.35,0.65,0.41,0.18,0.22,0.09,0.09,5672,744,0.052,0
1239,468,0.49,0.51,0.14,0.3,0.21,0.17,0.18,661578,1595,0.058,0
18,8,0.49,0.51,0.2,0.06,0.46,0.15,0.12,37536,1117,0.042,0
2,0,0.26,0.74,0.59,0.12,0.2,0.05,0.05,3264,1995,0.026,0
72,19,0.35,0.65,0.38,0.19,0.26,0.12,0.05,22724,2141,0.061,0
257,48,0.38,0.62,0.23,0.38,0.21,0.11,0.07,350956,534,0.169,0
1,1,0.62,0.38,0.13,0.12,0.18,0.22,0.35,11685,1442,0.203,0
1,0,0.34,0.66,0.49,0.16,0.15,0.1,0.09,8936,1025,0.013,0
4974,849,0.44,0.56,0.3,0.21,0.17,0.15,0.16,13082,1652,0.014,1
3,1,0.48,0.52,0.2,0.2,0.29,0.16,0.16,18157,2406,0.129,0
488,127,0.3,0.7,0.44,0.26,0.19,0.09,0.02,65007,4043,0.087,0
90,26,0.52,0.48,0.14,0.17,0.29,0.28,0.12,26763,1938,0.034,0
636,264,0.4,0.6,0.3,0.24,0.25,0.1,0.12,88884,792,0.053,0
98,22,0.53,0.47,0.18,0.27,0.12,0.19,0.24,5499,2179,0.0,0
221,74,0.37,0.63,0.24,0.4,0.21,0.06,0.1,1971,1255,0.011,0
2,1,0.37,0.63,0.33,0.23,0.25,0.14,0.04,7378,5743,0.014,0
1,0,0.26,0.74,0.55,0.11,0.28,0.03,0.03,14487,1746,0.026,0
4,1,0.35,0.65,0.34,0.3,0.2,0.09,0.08,7771,1264,0.022,0
461,93,0.38,0.62,0.32,0.29,0.17,0.12,0.11,43136,5078,0.042,1
2,0,0.41,0.59,0.26,0.25,0.25,0.13,0.1,69006,1936,0.094,0
422,197,0.35,0.65,0.28,0.31,0.31,0.07,0.04,34946,3189,0.106,0
1,0,0.57,0.43,0.0,0.2,0.6,0.0,0.2,4028,1989,0.0,0
5,2,0.44,0.56,0.19,0.25,0.3,0.18,0.07,9261,984,0.107,0
1,0,0.47,0.53,0.22,0.23,0.25,0.16,0.15,2881,1503,0.014,0
7,2,0.24,0.76,0.51,0.26,0.19,0.0,0.03,29910,1760,0.076,0
13,7,0.44,0.56,0.24,0.25,0.26,0.12,0.14,59954,1158,0.029,0
0,0,0.82,0.18,0.02,0.11,0.04,0.03,0.8,528,199,0.0,0
477,75,0.44,0.55,0.18,0.3,0.25,0.16,0.11,32355,2147,0.102,0
3,1,0.48,0.52,0.18,0.3,0.22,0.12,0.19,11116,1672,0.021,0
5,1,0.34,0.66,0.35,0.29,0.16,0.14,0.06,7011,1735,0.088,0
18,2,0.51,0.49,0.27,0.15,0.18,0.16,0.25,13153,942,0.03,0
560,167,0.41,0.59,0.31,0.18,0.29,0.1,0.13,2873,1242,0.012,0
2,1,0.52,0.48,0.09,0.25,0.31,0.24,0.11,6360,1543,0.058,0
583,24,0.35,0.65,0.4,0.19,0.22,0.12,0.07,178483,966,0.093,0
143,66,0.48,0.52,0.18,0.24,0.24,0.19,0.14,4112,1942,0.0,0
45,16,0.54,0.46,0.17,0.17,0.23,0.19,0.24,26251,2110,0.03,0
196,22,0.36,0.64,0.36,0.21,0.26,0.12,0.05,25749,1561,0.083,0
240,70,0.55,0.45,0.04,0.09,0.69,0.13,0.06,19665,1757,0.028,0
15,8,0.47,0.53,0.28,0.14,0.17,0.34,0.07,4377,1364,0.038,0
86,38,0.38,0.62,0.35,0.25,0.18,0.13,0.09,81810,2385,0.067,0
173,41,0.33,0.67,0.42,0.22,0.24,0.11,0.02,9059,1523,0.037,0
6,0,0.28,0.72,0.0,1.0,0.0,0.0,0.0,262,523,0.0,0
4,1,0.58,0.42,0.11,0.19,0.16,0.25,0.3,2021,1079,0.0,0
7,3,0.71,0.29,0.06,0.16,0.13,0.11,0.54,19817,839,0.02,0
205,36,0.46,0.54,0.26,0.23,0.17,0.16,0.18,347179,1132,0.061,0
47,10,0.47,0.53,0.29,0.14,0.22,0.19,0.16,29379,2172,0.038,0
1298,263,0.34,0.66,0.35,0.31,0.21,0.08,0.06,151366,1956,0.02,0
162,30,0.28,0.72,0.47,0.23,0.16,0.09,0.04,5850,2627,0.0,0
121,39,0.29,0.71,0.44,0.29,0.17,0.04,0.06,7856,911,0.022,0
6,1,0.45,0.55,0.2,0.28,0.25,0.13,0.15,3012,978,0.01,0
114,37,0.45,0.55,0.22,0.25,0.25,0.15,0.13,15300,1769,0.051,0
7,1,0.37,0.63,0.39,0.24,0.14,0.15,0.09,2037,836,0.012,1
110,48,0.41,0.59,0.28,0.28,0.2,0.13,0.11,22601,1159,0.027,0
5244,1349,0.43,0.57,0.25,0.26,0.22,0.1,0.17,1677,736,0.0,0
764,76,0.34,0.66,0.36,0.29,0.18,0.1,0.07,4480,976,0.0,0
1,0,0.41,0.59,0.33,0.2,0.22,0.12,0.13,12031,2153,0.055,0
70,10,0.3,0.7,0.39,0.32,0.17,0.09,0.03,17349,2783,0.039,0
87,28,0.35,0.65,0.36,0.28,0.21,0.09,0.07,298762,1699,0.011,0
3770,1026,0.21,0.79,0.59,0.28,0.07,0.04,0.02,28279,3071,0.064,0
24,4,0.57,0.43,0.1,0.28,0.11,0.32,0.19,8138,493,0.0,0
2,0,0.56,0.44,0.16,0.23,0.14,0.19,0.28,2095,1144,0.014,1
571,162,0.43,0.57,0.17,0.28,0.3,0.18,0.06,10848,1567,0.133,0
1,1,0.42,0.58,0.16,0.06,0.73,0.04,0.02,1696,607,0.011,0
357,70,0.38,0.62,0.31,0.19,0.29,0.16,0.06,19333,772,0.013,0
810,158,0.26,0.75,0.55,0.21,0.12,0.06,0.05,158894,1519,0.066,0
153,33,0.09,0.91,0.9,0.05,0.05,0.0,0.0,13907,337,0.01,0
12,5,0.29,0.71,0.48,0.2,0.2,0.05,0.06,4505,2742,0.023,0
15,6,0.46,0.54,0.17,0.33,0.2,0.17,0.14,556095,1032,0.073,0
12,4,0.36,0.64,0.34,0.27,0.2,0.09,0.1,9917,5578,0.02,0
4,1,0.38,0.62,0.27,0.29,0.27,0.12,0.06,93888,1829,0.034,0
1,1,0.45,0.55,0.19,0.33,0.2,0.18,0.11,4178,1079,0.033,0
207,20,0.49,0.51,0.24,0.23,0.16,0.12,0.24,99580,2290,0.024,0
18,1,0.34,0.66,0.39,0.25,0.21,0.11,0.04,7133,1286,0.03,0
1,0,0.47,0.53,0.2,0.2,0.34,0.13,0.12,152413,1289,0.076,0
68,7,0.25,0.75,0.56,0.21,0.13,0.06,0.04,38473,1124,0.071,0
157,43,0.42,0.58,0.26,0.24,0.26,0.15,0.1,38539,1378,0.026,0
27,7,0.47,0.53,0.19,0.19,0.35,0.17,0.1,17515,1666,0.077,0
17,2,0.25,0.75,0.57,0.21,0.1,0.07,0.05,17920,1875,0.12,0
37,17,0.48,0.52,0.22,0.22,0.22,0.17,0.16,21127,2648,0.059,0
226,57,0.47,0.53,0.16,0.3,0.24,0.13,0.17,77387,1603,0.029,0
76,11,0.4,0.6,0.22,0.27,0.31,0.15,0.05,3874,1185,0.043,0
27,3,0.43,0.57,0.15,0.41,0.17,0.15,0.12,8434,1229,0.06,0
1,0,0.58,0.42,0.12,0.22,0.1,0.29,0.27,27582,2205,0.174,0
9,1,0.6,0.4,0.08,0.21,0.2,0.22,0.28,5742,1261,0.078,0
8,1,0.54,0.46,0.19,0.2,0.14,0.21,0.26,119105,799,0.25,0
19,4,0.4,0.6,0.32,0.28,0.15,0.1,0.15,174244,1729,0.1,0
28,3,0.39,0.61,0.32,0.23,0.27,0.08,0.1,2856,1277,0.022,0
39,8,0.4,0.6,0.34,0.21,0.22,0.08,0.16,27067,1286,0.171,0
62,13,0.56,0.44,0.19,0.19,0.12,0.12,0.38,823363,2674,0.06,0
3,1,0.44,0.56,0.17,0.41,0.21,0.1,0.11,17625,1362,0.099,0
1316,365,0.45,0.55,0.15,0.37,0.23,0.16,0.09,299829,1473,0.112,0
2415,541,0.43,0.57,0.23,0.27,0.3,0.08,0.13,5140,1024,0.033,0
1,0,0.18,0.82,1.0,0.0,0.0,0.0,0.0,3340,2471,0.0,0
2,1,0.4,0.6,0.34,0.19,0.23,0.15,0.1,8885,1333,0.117,0
302,85,0.54,0.46,0.21,0.16,0.18,0.15,0.3,33811,1878,0.041,0
1,1,0.33,0.67,0.4,0.32,0.08,0.13,0.07,2120,1803,0.0,0
5,1,0.38,0.62,0.34,0.23,0.19,0.19,0.06,70418,1032,0.021,0
41,6,0.57,0.43,0.14,0.12,0.3,0.22,0.23,51557,742,0.111,0
15,3,0.46,0.54,0.14,0.31,0.25,0.21,0.09,49818,3156,0.031,0
3,1,0.49,0.51,0.2,0.18,0.25,0.22,0.14,3481,1789,0.037,0
11,3,0.69,0.31,0.01,0.03,0.14,0.66,0.16,49868,1993,0.137,0
2,0,0.32,0.68,0.39,0.29,0.21,0.07,0.04,12158,1293,0.086,0
139,44,0.46,0.54,0.24,0.19,0.23,0.18,0.16,61458,1235,0.026,0
4,1,0.56,0.44,0.13,0.22,0.16,0.27,0.23,14458,2111,0.032,0
339,177,0.36,0.64,0.3,0.3,0.24,0.13,0.02,20888,3604,0.051,0
1,0,0.27,0.73,0.42,0.4,0.1,0.06,0.02,11242,1093,0.023,0
0,0,0.38,0.62,0.16,0.5,0.2,0.08,0.06,980,597,0.0,0
374,53,0.56,0.44,0.13,0.17,0.26,0.2,0.25,888727,3417,0.083,0
234,78,0.23,0.77,0.59,0.18,0.15,0.05,0.03,4073,1270,0.022,0
1437,281,0.4,0.6,0.29,0.33,0.17,0.12,0.09,38917,1087,0.089,0
45,7,0.37,0.63,0.41,0.17,0.22,0.11,0.09,84944,2081,0.049,0
0,0,0.45,0.55,0.29,0.0,0.43,0.29,0.0,4208,403,0.0,0
1959,200,0.41,0.59,0.28,0.24,0.28,0.12,0.09,373988,5918,0.079,0
797,334,0.43,0.57,0.29,0.22,0.19,0.15,0.16,6423,1057,0.021,0
6,2,0.44,0.56,0.2,0.3,0.22,0.16,0.12,3972,937,0.036,0
8,2,0.68,0.32,0.04,0.11,0.2,0.23,0.42,2476,1767,0.0,0
354,159,0.5,0.5,0.21,0.22,0.22,0.12,0.22,6503,893,0.0,0
16,2,0.42,0.58,0.42,0.16,0.15,0.08,0.2,120597,10644,0.031,0
80,15,0.44,0.56,0.24,0.25,0.21,0.18,0.12,18894,1829,0.027,0
47,27,0.43,0.57,0.28,0.23,0.17,0.2,0.13,19625,2197,0.036,0
3376,742,0.28,0.72,0.49,0.21,0.2,0.08,0.03,8066,1006,0.019,0
53,11,0.35,0.65,0.32,0.38,0.12,0.13,0.04,2995,993,0.011,0
134,44,0.44,0.56,0.32,0.24,0.17,0.07,0.21,2374,1116,0.0,0
3,1,0.44,0.56,0.3,0.18,0.19,0.2,0.14,3179,1011,0.014,0
3,0,0.63,0.37,0.12,0.15,0.17,0.22,0.34,3939,1660,0.031,0
36,2,0.39,0.61,0.27,0.35,0.15,0.13,0.1,53990,1558,0.022,0
33,9,0.57,0.43,0.17,0.12,0.25,0.19,0.27,32438,1170,0.083,0
20,10,0.33,0.67,0.44,0.27,0.08,0.14,0.08,625782,2133,0.112,0
62,13,0.31,0.69,0.38,0.31,0.16,0.12,0.04,7132,4727,0.034,1
11,2,0.5,0.5,0.15,0.3,0.15,0.21,0.18,11000,1411,0.035,1
1337,603,0.34,0.66,0.39,0.22,0.2,0.13,0.06,2544,1990,0.011,1
11,2,0.59,0.41,0.12,0.16,0.2,0.18,0.34,2120,975,0.021,0
31,7,0.48,0.52,0.22,0.23,0.2,0.16,0.19,119682,3344,0.091,0
11,3,0.31,0.69,0.38,0.32,0.19,0.08,0.04,36139,1596,0.092,0
536,237,0.36,0.64,0.38,0.23,0.17,0.13,0.08,16681,1258,0.023,0
21,6,0.43,0.57,0.34,0.2,0.15,0.15,0.17,7164,2419,0.011,0
15,5,0.35,0.65,0.33,0.25,0.27,0.1,0.05,10161,2204,0.076,0
1,1,0.45,0.55,0.39,0.07,0.21,0.11,0.21,11232,1735,0.217,0
3,0,0.32,0.68,0.38,0.28,0.18,0.11,0.05,4534,1942,0.025,0
46,8,0.25,0.75,0.53,0.25,0.13,0.07,0.03,10478,3009,0.044,0
256,63,0.4,0.6,0.3,0.2,0.25,0.15,0.1,3101,1400,0.021,0
21,4,0.41,0.59,0.21,0.36,0.23,0.11,0.09,13093,1554,0.072,0
16,3,0.44,0.56,0.25,0.33,0.05,0.22,0.16,38710,6175,0.06,0
0,0,0.29,0.71,0.64,0.16,0.03,0.1,0.07,312,524,0.0,0
206,48,0.38,0.62,0.36,0.22,0.18,0.13,0.1,8257,842,0.043,1
10,2,0.45,0.55,0.23,0.23,0.25,0.14,0.15,11716,1926,0.1,0
11,2,0.31,0.69,0.46,0.23,0.13,0.12,0.06,4797,984,0.011,0
4,2,0.51,0.49,0.2,0.15,0.28,0.22,0.16,6145,1764,0.061,0
0,0,0.4,0.6,0.33,0.16,0.26,0.15,0.09,720,785,0.0,0
7,0,0.71,0.29,0.06,0.04,0.1,0.45,0.36,9549,1190,0.041,0
237,50,0.41,0.59,0.3,0.25,0.2,0.17,0.08,124894,1388,0.088,0
72,13,0.4,0.6,0.23,0.34,0.2,0.18,0.06,59612,713,0.047,0
4,1,0.53,0.47,0.05,0.14,0.47,0.17,0.18,9746,1979,0.029,0
20,4,0.44,0.56,0.29,0.21,0.18,0.18,0.15,2406,898,0.02,0
679,278,0.26,0.74,0.5,0.26,0.16,0.04,0.05,3619,1222,0.011,0
